relationship_id,master_affiliate_id,sub_affiliate_id,recruited_at,is_active,created_at
660308b8-e8cb-447e-a29d-30dc2034d4e6,P00003,P15026,2025-10-07T04:12:17.638150,True,2026-02-07T04:12:17.638192
bb148f47-17b3-4735-9771-563481c102ab,P00003,P13778,2025-11-14T04:12:17.638212,True,2026-02-07T04:12:17.638224
04e446aa-82c8-4fb4-b7f3-f36c78a253f2,P00003,P17575,2025-03-15T04:12:17.638240,True,2026-02-07T04:12:17.638250
4978e6c1-bd1a-49cc-aae6-047936afad34,P00003,P19214,2025-07-08T04:12:17.638267,True,2026-02-07T04:12:17.638283
3e089312-61fe-4b51-8bf6-889117656986,P00003,P15970,2025-05-22T04:12:17.638304,True,2026-02-07T04:12:17.638314
194ea1ba-13f4-4b78-8fb1-cd89b34cb75e,P00003,P13781,2025-06-04T04:12:17.638328,True,2026-02-07T04:12:17.638337
c8579b02-a522-4ba5-a953-87792fab022d,P00003,P16582,2025-09-18T04:12:17.638350,True,2026-02-07T04:12:17.638358
87472ddf-31f7-49a4-b686-cf7907b5162c,P00003,P17310,2025-03-07T04:12:17.638373,True,2026-02-07T04:12:17.638383
d8492b2c-2c67-4da6-846a-3a5a921481fa,P00003,P19123,2025-03-01T04:12:17.638397,True,2026-02-07T04:12:17.638405
736909b7-8e4b-4780-9b31-cc1f52ac7bc3,P00003,P15721,2025-07-13T04:12:17.638417,True,2026-02-07T04:12:17.638426
13c8fb0d-7526-462a-ac31-22a7f309af1a,P00003,P19914,2025-07-04T04:12:17.638438,True,2026-02-07T04:12:17.638446
a5176a64-dcd0-4788-9c39-9f365f322ee5,P00003,P15389,2025-02-09T04:12:17.638458,True,2026-02-07T04:12:17.638465
1e2c0736-9e6f-4f15-a142-d80d2023a906,P00003,P18911,2025-05-21T04:12:17.638477,True,2026-02-07T04:12:17.638484
ed056049-7181-4073-a7fc-5fb7c8c37253,P00003,P14882,2026-01-05T04:12:17.638496,True,2026-02-07T04:12:17.638503
d77b654e-f926-4551-b6be-1e44e464a0b8,P00003,P14504,2025-09-08T04:12:17.638515,True,2026-02-07T04:12:17.638522
